pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
HD 28109 c,4.23,7.943,56.00819,585.2,6120.0,1.26,1.45,0.0,-0.8203283477690614,-0.0791879487595267,0.4439190964013658,-0.2024913125043133,44.44382416414513,52.82969813193886,0.47,0.29225145875325675,602.3025553662407,15.347587577350533,0.18077173143901823,0.04519961573380259,0.0
K2-350 b,1.54,2.99,4.163873,1158.0,5789.0,0.98,1.04,-0.02,0.6151742084782716,-0.1902278538781576,1.260752234778209,-0.1553875572398423,45.72420881801701,51.18922405190182,0.5527500000000001,0.03936095765468217,1162.557998896412,15.60605942924385,0.4210875588489288,0.004446660963846388,0.0
K2-342 b,2.03,4.78,11.561052,861.0,5920.0,1.01,1.09,-0.06,-0.1291418865033239,-0.4123076641154194,1.159940789633333,-0.1612009815695628,44.60982871783143,51.98189492220452,0.52,0.1255360871729853,871.8086571055941,17.18636187454339,0.2560735779784697,0.013459943716954638,0.0
EPIC 212587672 b,1.26,2.13,15.28078,756.0,6004.0,0.99,0.98,-0.18,-0.3922839402846961,-1.078547094827205,1.341647770219199,-0.1507226099888375,44.24704817127454,50.75858072755505,0.499,0.16870884683125847,768.7543888204431,14.562051137574448,0.18183370456709708,0.02861638665185283,0.0
K2-332 b,2.2,5.48,17.70632,266.0,3315.0,0.27,0.28,0.09,-1.620280191264433,0.4204916242743121,1.1322314049586777,-0.1627988796137554,59.69302014504644,53.73292183552364,1.0,0.5913790965951025,281.7306839694297,17.67652783675675,0.001250415948882345,0.6020454106241728,0.9782315415605198
K2-340 b,3.36,11.2,29.740451,606.0,5532.0,0.93,1.13,0.08,-0.7682011599723707,0.3649716717149967,0.9920634920634922,-0.1708818463235371,43.84677999603762,54.695412630151154,0.617,0.33854589095856996,626.5158809920894,20.4483088135262,0.11177475397145437,0.03816966336135436,0.0
GJ 486 b,1.289,2.77,1.46712127,696.3,3317.0,0.31,0.32,-0.15,-0.5418989937203907,-0.9119872371492584,1.6671471501112536,-0.1319522609312079,43.07252082628195,48.395986153884316,1.0,0.20972963786159138,710.9034746843025,16.418423302477397,0.008613791402673605,0.03704585187696907,0.0
TOI-6002 b,1.65,3.36,10.904821,321.4,3229.0,0.21,0.24,-0.18,-1.4814414314597852,-1.078547094827205,1.234159779614325,-0.1569210460774893,56.573281321826606,51.97573209519337,1.0,0.5181539998591487,338.053469555473,15.982535923483937,0.001142454254633847,0.467275788631312,0.8262032307101632
HIP 12961 b,13.2,114.4188,57.435,912.5307146386988,3901.0,0.69,0.65,-0.14,0.0,-0.8564672845899429,0.6566735537190084,-0.1902225474186684,42.626917825803254,65.46302959794123,1.0,0.9563874936775418,999.804010946407,32.97461635313387,0.005897065445087451,0.0022831325489410075,0.0
HD 11755 b,12.8,1789.3829,433.70001,912.5307146386988,4312.0,0.72,20.58,-0.74,0.0,-4.187664438148869,10.921526489257811,0.4017136728260336,40.43565221665529,92.93155468059747,0.922,1.0,1003.7837861025688,132.4233832070454,2.2928165686844206,0.000999286993788764,0.0
HD 29985 b,12.8,1739.47487,20608.14049,912.5307146386988,4678.0,0.75,0.57,-0.22,0.0,-1.3006269050644663,10.616912048339842,0.3841476811921289,42.56943704702031,93.37162437846592,0.8305,1.0,1003.7837861025688,130.56360031034683,0.00018571824041405008,0.0010084457217515285,0.0
HD 115954 b,12.6,2685.65004,3700.0,144.9,5957.0,1.18,1.21,0.34,-1.9237706932922825,1.8084904382571985,16.916414965986394,0.7474167869366471,48.23713240590333,96.67608691226603,0.51075,1.0,159.39000000000001,163.51494786715983,0.006914644258248212,0.012013325307628756,0.5534375
HIP 97233 b,12.1,6098.17365,1062.26506,912.5307146386988,5020.0,1.81,5.34,0.29,0.0,1.5308906754606209,41.65134656102725,2.1737890894260654,43.71236402286846,99.40978148483507,0.745,1.0,1003.7837861025688,251.43471009915203,0.1560625269404635,0.000674664403952706,0.0
HD 95872 b,13.0,1188.6842,4375.0,912.5307146386988,5312.0,0.7,0.84,0.41,0.0,2.197130106172406,7.033634319526627,0.1775132668268559,42.58344644376094,90.09760182903945,0.6719999999999999,1.0,1003.7837861025688,107.09756373297415,0.0018843517816626832,0.0011352797209150216,0.0
OGLE-2015-BLG-0966L b,4.86,21.0,,912.5307146386988,5412.3924897449615,0.38,,0.014262971257932,0.0,-3.3709117781417086e-16,0.88909210994259,-0.1768198262545492,42.63079425437344,53.290388980392144,0.6469018775637596,0.1911158987827044,929.9706274081985,23.281423739926744,0.0,0.006138375707541675,0.0
Teegarden's Star c,1.02,1.05,11.416,209.0,3034.0,0.1,0.12,-0.11,-1.7631287347457494,-0.6899074269119966,1.0092272202998849,-0.1698920774022131,55.79881911551381,50.48351978246694,1.0,0.5840127407831228,221.20586628236725,11.363512298787988,0.00021592619964173068,0.4514121061841229,0.7680759245915529
TOI-1470 b,2.18,7.32,2.527093,734.0,3709.0,0.47,0.47,0.0,-0.4474184658388884,-0.0791879487595267,1.540274387677805,-0.1392685453357167,42.9797578300172,50.6157641556807,1.0,0.2162054729978934,749.8694817180453,20.52321129440669,0.020216163871953994,0.02251615394933376,0.0
HR 810 b,12.7,1970.53612,302.79999,912.5307146386988,6167.0,1.34,1.13,0.16,0.0,0.8091312921895204,12.21734837869676,0.4764389432377696,42.83734843706121,94.83186674693121,0.45825000000000005,1.0,1003.7837861025688,139.510971231374,0.036748416192707904,0.0009701676516092004,0.0
HD 97658 b,2.12,8.3,9.4897116,751.0,5212.0,0.85,0.73,-0.23,-0.4048145142742853,-1.3561468576237818,1.846742613029548,-0.1215956527887871,43.37754968530687,53.675338238647754,0.6970000000000001,0.23969047509748745,769.0007546798213,22.160989011374564,0.07871385618960339,0.019844613636748786,0.0
LTT 3780 b,1.325,2.46,0.76837931,903.0,3358.0,0.38,0.38,0.06,-0.0238850649907751,0.2539317665963658,1.4012103951584194,-0.1472878530277993,42.86651993712071,46.47686626561071,1.0,0.09546710957606754,911.620679994719,15.26081181846138,0.01963643762053038,0.013619766454556589,0.0
HIP 41378 c,2.56,7.08,31.70648,696.502287375,6226.0,1.14,1.35,-0.11,-0.5413920383364711,-0.6899074269119966,1.080322265625,-0.1657922882798407,44.696819052621244,54.3694505008681,0.4435,0.23566182975360822,712.9161877220366,18.625788573910096,0.24526100242525486,0.02698721539929593,0.0
