pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,Habitability Score,Terraformability Score
GJ 341 b,1,1,1,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,7.57686,0.0,0.88,0.079,4.0,0.01259,0.0,0.0,0.0,0.0,4.0,0.01259,0.0,0.0,13.8,0.0,89.24,2459301.771,0,0.0,0.0,2.23,24.5,0.016,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.51,0.48,-0.16,0.0,4.72,0.0,0.0,2.32,0.0,0.0,140.3993759,-60.2811692,-7.30635,279.58436,-67.29483,188.26755,859.6210218,-840.114,182.09,10.454,95.6279,10.924,9.49,6.442,5.793,5.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67538,0.0,7.66874,0.0,0,1,0,0,0,0,0,0.0,46.42
TOI-5108 b,0,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,6.7535728,0.0,6.288,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.78,927.0,0.0,2460285.357,0,0.0,0.174,2.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5880.0,1.32,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,166.2695041,11.2464069,60.40104,240.20756,4.95274,163.00302,82.0561052,67.5545,-46.5789,130.919,7.61136,10.373,9.75,8.612001,8.405,8.3,13.8452,10.1521,9.60536,9.52398,9.93013,8.232,8.286,8.252,8.348,9.608,0.0,9.18458,0.0,0,0,0,0,0,0,0,0.0,0.0
TOI-2015 c,1,1,2,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,5.582796,0.041232,0.0,0.0,8.91,0.02803,0.0,0.0,0.0,0.0,8.91,0.02803,0.0,0.00033,6.68,448.0,85.7,0.0,0,2.02,0.0,0.0,27.1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3297.0,0.33,0.3,-0.31,-1.492,5.04,5.5,11.8002,2.0,0.0,0.0,232.1326528,27.361073,55.23163,42.57577,44.47198,220.18062,85.1255075,-56.1664,63.9663,47.3444,21.093,17.134,16.11,11.118,10.519,10.263,18.8902,16.4161,14.9726,13.6507,12.6028,10.098,9.926,9.771,9.319,14.176,0.0,12.8387,0.0,1,0,0,0,0,0,0,12.85,0.0
GJ 3998 d,1,1,3,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,41.78,0.189,0.0,0.0,0.0,0.0,6.07,0.0191,0.0,0.0,6.07,0.0191,0.0,0.0,1.2,0.0,0.0,2460170.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,3726.0,0.5,0.52,-0.13,-1.358,4.75,8.38,0.0,0.0,0.0,0.0,259.0020507,11.0561751,26.15047,32.27249,33.99848,256.94387,373.4729173,-137.311,-347.315,18.1459,55.0799,12.351,10.844,7.634,7.02,6.816,15.023,11.5001,10.1539,9.33367,9.60667,0.0,0.0,0.0,0.0,9.98337,0.0,8.93677,0.0,0,1,0,0,0,0,0,0.0,0.0
TOI-7041 b,0,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,9.69946658,0.0,9.53,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.26,882.0,0.0,2460160.363,0,0.0,0.051296,15.7960068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696.0,4.21,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,357.8021716,-50.8698618,-63.64837,324.60739,-44.5939,332.31867,2.7099671,2.07214,-1.74647,439.52,2.24667,12.627,11.251,9.344,8.861,8.691,0.0,0.0,0.0,0.0,0.0,8.623,8.716,8.613,8.692,10.908,0.0,10.264,0.0,0,0,0,0,0,0,0,0.0,0.0
TOI-6628 b,1,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,18.18424,0.134,10.985,0.98,235.19302,0.74,0.0,0.0,0.0,0.0,235.19302,0.74,0.98,0.67,0.0,833.0,88.19,2458602.721,0,0.811,0.0,0.0,0.0,0.1,0.0,0.0,215.8,78.91,0.0,0.0,5463.0,1.01,0.97,0.36,-0.088,4.42,7.5,1.3263,3.13,0.0,0.0,225.8370504,-35.2305793,20.29202,331.22833,-17.22843,233.42464,34.132951,-30.1794,-15.9456,320.527,3.09271,13.792,12.9,11.317,10.943,10.836,0.0,0.0,0.0,0.0,0.0,10.774,10.83,10.775,8.388,12.6408,0.0,12.0836,0.0,0,0,0,0,0,0,0,0.0,14.8
TOI-1453 c,0,2,2,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,6.5886848,0.0,2.144,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.17,630.0,0.0,2460554.99,0,0.0,0.0858,1.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.0,0.71,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,258.2232705,57.1977779,35.75066,85.57623,79.15555,234.00348,71.005304,-71.0053,-0.023815,78.7415,12.6708,12.029,11.113,9.275,8.766,8.686,14.9788,11.753,13.7634,10.4613,10.6197,8.635,8.678001,8.604,8.519,10.7265,0.0,10.1426,0.0,0,0,0,0,0,0,0,0.0,38.86
TOI-5786 b,1,2,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,12.779107,0.114,8.54,0.762,73.0,0.22968,0.0,0.0,0.0,0.0,73.0,0.22968,0.64,0.0,0.0,1040.0,88.9,2460140.614,0,0.33,0.0,4.6,18.0,0.0576,0.0,0.0,0.0,17.4,0.0,0.0,6235.0,1.36,1.23,0.08,0.0,4.26,2.5,0.682,7.0,0.0,0.0,293.3223259,30.7042468,5.38601,64.79981,51.49387,303.14023,0.9460141,-0.839511,0.436078,192.475,5.16683,10.766,10.186,9.258,9.037,8.963,0.0,0.0,0.0,0.0,0.0,8.946,8.964,8.923,9.0,10.1378,0.0,9.77301,0.0,0,0,0,0,0,0,0,0.0,0.0
TOI-4364 b,0,1,1,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,5.42406915,0.0,2.094,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,487.0,0.0,2458439.34,0,0.0,0.176686,1.6875037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.47,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,80.066927,-4.2392481,-22.18146,206.08628,-27.29447,78.83444,77.7989394,64.2895,43.8125,43.9662,22.716,15.056,13.564,9.952,9.307,9.075,0.0,0.0,0.0,0.0,0.0,8.949,8.857,8.764,8.833,12.5548,0.0,11.3993,0.0,0,0,0,0,0,0,0,0.13,57.74
TOI-1453 b,0,2,2,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,4.3135259,0.0,1.13,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.55,852.0,0.0,2460333.25,0,0.0,0.0264,1.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.0,0.71,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,258.2232705,57.1977779,35.75066,85.57623,79.15555,234.00348,71.005304,-71.0053,-0.023815,78.7415,12.6708,12.029,11.113,9.275,8.766,8.686,14.9788,11.753,13.7634,10.4613,10.6197,8.635,8.678001,8.604,8.519,10.7265,0.0,10.1426,0.0,0,0,0,0,0,0,0,0.0,6.87
